Date,USD
9/8/2009,1413.78
9/9/2009,1414.08
9/10/2009,1413.48
9/11/2009,1413.74
9/14/2009,1413.83
9/15/2009,1415.2
9/16/2009,1416.21
9/17/2009,1417.21
9/18/2009,1418.75
9/21/2009,1418.61
9/22/2009,1420.45
9/23/2009,1420.65
9/24/2009,1421.38
9/25/2009,1422.09
9/28/2009,1423.65
9/29/2009,1424.66
9/30/2009,1426.01
10/1/2009,1428.38
10/2/2009,1432.34
10/5/2009,1437.11
10/6/2009,1441.33
10/7/2009,1446.24
10/8/2009,1451.37
10/9/2009,1453.25
10/12/2009,1451.98
10/13/2009,1448.72
10/14/2009,1444.67
10/15/2009,1436.25
10/16/2009,1434.22
10/19/2009,1436.72
10/20/2009,1439.27
10/21/2009,1440.43
10/22/2009,1440.47
10/23/2009,1438.45
10/26/2009,1435.71
10/27/2009,1431.97
10/28/2009,1428.55
10/29/2009,1427.1
10/30/2009,1424.62
11/2/2009,1423.84
11/3/2009,1423.93
11/4/2009,1423.93
11/5/2009,1423.74
11/6/2009,1423.99
11/9/2009,1423.87
11/10/2009,1423.5
11/11/2009,1423.8
11/12/2009,1424.25
11/13/2009,1426.44
11/16/2009,1428.83
11/17/2009,1433.07
11/18/2009,1435.26
11/19/2009,1435.48
11/20/2009,1436.65
11/23/2009,1439.12
11/24/2009,1442.02
11/25/2009,1445.45
11/27/2009,1445.55
11/30/2009,1446.41
12/1/2009,1450.3
12/2/2009,1452.74
12/3/2009,1455.43
12/4/2009,1456.44
12/7/2009,1458.8
12/8/2009,1459.77
12/9/2009,1460.48
12/10/2009,1460.88
12/11/2009,1460.08
12/14/2009,1458.05
12/15/2009,1452.87
12/16/2009,1445.87
12/17/2009,1443.17
12/18/2009,1439.38
12/21/2009,1435.88
12/22/2009,1431.58
12/23/2009,1430.05
12/24/2009,1431.48
12/25/2009,1432.99
12/28/2009,1434.09
12/29/2009,1436.62
12/30/2009,1440.2
12/31/2009,1442.84
1/4/2010,1445.55
1/5/2010,1449.51
1/6/2010,1452.77
1/7/2010,1459.99
1/8/2010,1463.79
1/11/2010,1469.99
1/12/2010,1470.64
1/13/2010,1463.25
1/14/2010,1461.99
1/15/2010,1458
1/18/2010,1454.66
1/19/2010,1451.29
1/20/2010,1448.16
1/21/2010,1447.3
1/22/2010,1446.63
1/25/2010,1447.82
1/26/2010,1448.82
1/27/2010,1451.74
1/28/2010,1453.74
1/29/2010,1456.06
2/1/2010,1455.7
2/2/2010,1455.29
2/3/2010,1455.03
2/4/2010,1454.01
2/5/2010,1455.2
2/8/2010,1453.57
2/9/2010,1451.03
2/10/2010,1448.6
2/11/2010,1446.8
2/12/2010,1442.52
2/15/2010,1439.3
2/16/2010,1439.3
2/17/2010,1439.3
2/18/2010,1437.8
2/19/2010,1438.08
2/22/2010,1438.09
2/23/2010,1438.19
2/24/2010,1440.91
2/25/2010,1445.14
2/26/2010,1447.75
3/1/2010,1449.82
3/2/2010,1447.62
3/3/2010,1445.96
