Aimag,Year,Past values of the vulnerability index according to Aimag - 1: Average weighed by livestock numbers in SFU
Uvurkhangai,2000,2.39
Uvurkhangai,2001,1.28
Uvurkhangai,2002,2.43
Uvurkhangai,2003,0.72
Uvurkhangai,2004,1.67
Uvurkhangai,2005,1.57
Uvurkhangai,2006,1.22
Uvurkhangai,2007,1.3
Uvurkhangai,2008,3.43
Uvurkhangai,2009,3.3
Uvurkhangai,2010,1.06
Uvurkhangai,2011,0.81
Uvurkhangai,2012,0.74
Uvurkhangai,2013,1.01
Uvurkhangai,2014,2.96
Uvurkhangai,2015,2.56
Uvurkhangai,2016,2.36
Uvurkhangai,2017,3.05
Zavkhan,1998,2.3
Zavkhan,1999,2.96
Zavkhan,2000,2.88
Zavkhan,2001,2.43
Zavkhan,2002,2.32
Zavkhan,2003,0.73
Zavkhan,2004,1.4
Zavkhan,2005,1.08
Zavkhan,2006,1.83
Zavkhan,2007,2.7
Zavkhan,2008,2.87
Zavkhan,2009,3.44
Zavkhan,2010,1.36
Zavkhan,2011,1.11
Zavkhan,2012,1.24
Zavkhan,2013,0.97
Zavkhan,2014,2.36
Zavkhan,2015,2.09
Zavkhan,2016,2.07
Zavkhan,2017,3.82
Weight mean1,1998,1.36
Weight mean1,1999,2.28
Weight mean1,2000,2.12
Weight mean1,2001,2.54
Weight mean1,2002,2.39
Weight mean1,2003,0.96
Weight mean1,2004,1.56
Weight mean1,2005,1.54
Weight mean1,2006,1.74
Weight mean1,2007,2
Weight mean1,2008,2.54
Weight mean1,2009,2.83
Weight mean1,2010,1.79
Weight mean1,2011,1.36
Weight mean1,2012,1.19
Weight mean1,2013,1.41
Weight mean1,2014,2.59
Weight mean1,2015,2.53
Weight mean1,2016,2.65
Weight mean1,2017,3.34
