Aimag,Year,Standing forage biomass (tons)
Khentii,2014,4.03E+ 07
Khentii,2015,4.78E+ 07
Khentii,2016,4.55E+ 07
Khentii,2017,5.04E+ 07
Khovd,1998,6.93E+ 06
Khovd,1999,7.69E+ 06
Khovd,2000,5.72E+ 06
Khovd,2001,3.88E+ 06
Khovd,2002,3.79E+ 06
Khovd,2003,9.94E+ 06
Khovd,2004,5.70E+ 06
Khovd,2005,7.49E+ 06
Khovd,2006,4.06E+ 06
Khovd,2007,4.83E+ 06
Khovd,2008,4.48E+ 06
Khovd,2009,4.69E+ 06
Khovd,2010,5.58E+ 06
Khovd,2011,6.26E+ 06
Khovd,2012,7.74E+ 06
Khovd,2013,8.36E+ 06
Khovd,2014,6.26E+ 06
Khovd,2015,7.87E+ 06
Khovd,2016,7.22E+ 06
Khovd,2017,4.36E+ 06
Khuvsgul,1998,7.11E+ 07
Khuvsgul,1999,5.72E+ 07
Khuvsgul,2000,4.77E+ 07
Khuvsgul,2001,5.51E+ 07
Khuvsgul,2002,3.45E+ 07
Khuvsgul,2003,4.94E+ 07
Khuvsgul,2004,5.66E+ 07
Khuvsgul,2005,6.25E+ 07
Khuvsgul,2006,6.13E+ 07
Khuvsgul,2007,6.08E+ 07
Khuvsgul,2008,5.77E+ 07
Khuvsgul,2009,6.63E+ 07
Khuvsgul,2010,7.34E+ 07
Khuvsgul,2011,6.03E+ 07
Khuvsgul,2012,5.96E+ 07
Khuvsgul,2013,7.01E+ 07
Khuvsgul,2014,6.03E+ 07
Khuvsgul,2015,6.23E+ 07
Khuvsgul,2016,7.31E+ 07
Khuvsgul,2017,6.00E+ 07
Orkhon,1998,6.80E+ 05
Orkhon,1999,5.52E+ 05
Orkhon,2000,5.87E+ 05
Orkhon,2001,4.06E+ 05
Orkhon,2002,1.93E+ 05
Orkhon,2003,4.41E+ 05
Orkhon,2004,4.44E+ 05
Orkhon,2005,3.56E+ 05
Orkhon,2006,4.94E+ 05
Orkhon,2007,5.21E+ 05
Orkhon,2008,5.15E+ 05
Orkhon,2009,5.04E+ 05
Orkhon,2010,6.27E+ 05
Orkhon,2011,5.54E+ 05
Orkhon,2012,6.30E+ 05
Orkhon,2013,6.58E+ 05
Orkhon,2014,5.01E+ 05
Orkhon,2015,5.54E+ 05
Orkhon,2016,5.41E+ 05
Orkhon,2017,4.46E+ 05
Selenge,1998,3.45E+ 07
Selenge,1999,3.50E+ 07
Selenge,2000,3.27E+ 07
Selenge,2001,3.06E+ 07
Selenge,2002,1.72E+ 07
Selenge,2003,3.07E+ 07
Selenge,2004,2.56E+ 07
Selenge,2005,2.79E+ 07
Selenge,2006,3.51E+ 07
Selenge,2007,3.44E+ 07
Selenge,2008,3.32E+ 07
Selenge,2009,3.40E+ 07
Selenge,2010,3.87E+ 07
Selenge,2011,3.06E+ 07
Selenge,2012,3.87E+ 07
Selenge,2013,3.91E+ 07
Selenge,2014,3.27E+ 07
Selenge,2015,3.58E+ 07
Selenge,2016,3.61E+ 07
Selenge,2017,3.13E+ 07
Sukhbaatar,1998,4.92E+ 07
Sukhbaatar,1999,2.35E+ 07
Sukhbaatar,2000,3.27E+ 07
Sukhbaatar,2001,1.47E+ 07
Sukhbaatar,2002,2.07E+ 07
Sukhbaatar,2003,2.24E+ 07
Sukhbaatar,2004,1.65E+ 07
Sukhbaatar,2005,1.72E+ 07
Sukhbaatar,2006,2.53E+ 07
Sukhbaatar,2007,1.14E+ 07
Sukhbaatar,2008,2.83E+ 07
Sukhbaatar,2009,1.92E+ 07
Sukhbaatar,2010,1.75E+ 07
Sukhbaatar,2011,3.13E+ 07
Sukhbaatar,2012,4.77E+ 07
Sukhbaatar,2013,3.77E+ 07
Sukhbaatar,2014,2.08E+ 07
Sukhbaatar,2015,2.66E+ 07
Sukhbaatar,2016,1.79E+ 07
Sukhbaatar,2017,3.13E+ 07
Tuv,1998,4.51E+ 07
Tuv,1999,3.21E+ 07
Tuv,2000,3.58E+ 07
Tuv,2001,2.70E+ 07
Tuv,2002,1.41E+ 07
Tuv,2003,3.39E+ 07
Tuv,2004,2.56E+ 07
Tuv,2005,3.20E+ 07
Tuv,2006,3.47E+ 07
Tuv,2007,3.10E+ 07
Tuv,2008,3.48E+ 07
Tuv,2009,3.38E+ 07
Tuv,2010,3.73E+ 07
Tuv,2011,3.39E+ 07
Tuv,2012,4.49E+ 07
Tuv,2013,4.37E+ 07
Tuv,2014,2.97E+ 07
Tuv,2015,3.73E+ 07
Tuv,2016,3.25E+ 07
Tuv,2017,3.70E+ 07
Ulaanbaatar,1998,2.53E+ 06
Ulaanbaatar,1999,2.28E+ 06
Ulaanbaatar,2000,2.27E+ 06
Ulaanbaatar,2001,1.94E+ 06
Ulaanbaatar,2002,9.70E+ 05
Ulaanbaatar,2003,2.00E+ 06
Ulaanbaatar,2004,1.61E+ 06
Ulaanbaatar,2005,2.40E+ 06
Ulaanbaatar,2006,2.34E+ 06
Ulaanbaatar,2007,2.16E+ 06
Ulaanbaatar,2008,2.28E+ 06
Ulaanbaatar,2009,1.77E+ 06
Ulaanbaatar,2010,2.04E+ 06
Ulaanbaatar,2011,1.35E+ 06
Ulaanbaatar,2012,2.64E+ 06
Ulaanbaatar,2013,2.56E+ 06
Ulaanbaatar,2014,2.31E+ 06
Ulaanbaatar,2015,2.53E+ 06
Ulaanbaatar,2016,2.17E+ 06
Ulaanbaatar,2017,2.18E+ 06
Umnugovi,1998,5.74E+ 06
Umnugovi,1999,3.90E+ 06
Umnugovi,2000,4.23E+ 06
Umnugovi,2001,1.95E+ 06
Umnugovi,2002,2.22E+ 06
Umnugovi,2003,8.04E+ 06
Umnugovi,2004,3.70E+ 06
Umnugovi,2005,2.29E+ 06
Umnugovi,2006,5.37E+ 06
Umnugovi,2007,7.22E+ 06
Umnugovi,2008,4.77E+ 06
Umnugovi,2009,1.94E+ 06
Umnugovi,2010,3.91E+ 06
Umnugovi,2011,4.36E+ 06
Umnugovi,2012,7.18E+ 06
Umnugovi,2013,4.24E+ 06
Umnugovi,2014,3.88E+ 06
Umnugovi,2015,3.14E+ 06
Umnugovi,2016,5.20E+ 06
Umnugovi,2017,3.39E+ 06
Uvs,1998,1.28E+ 07
Uvs,1999,1.29E+ 07
Uvs,2000,1.07E+ 07
Uvs,2001,8.47E+ 06
Uvs,2002,5.59E+ 06
Uvs,2003,1.79E+ 07
Uvs,2004,1.03E+ 07
Uvs,2005,1.42E+ 07
Uvs,2006,9.35E+ 06
Uvs,2007,6.51E+ 06
Uvs,2008,7.81E+ 06
Uvs,2009,7.32E+ 06
Uvs,2010,1.21E+ 07
Uvs,2011,9.65E+ 06
Uvs,2012,1.27E+ 07
Uvs,2013,1.35E+ 07
Uvs,2014,8.34E+ 06
Uvs,2015,5.90E+ 06
Uvs,2016,1.41E+ 07
Uvs,2017,6.20E+ 06
Uvurkhangai,1998,1.84E+ 07
Uvurkhangai,1999,9.75E+ 06
Uvurkhangai,2000,1.12E+ 07
Uvurkhangai,2001,9.49E+ 06
Uvurkhangai,2002,4.64E+ 06
Uvurkhangai,2003,1.43E+ 07
Uvurkhangai,2004,8.00E+ 06
Uvurkhangai,2005,8.96E+ 06
Uvurkhangai,2006,1.24E+ 07
Uvurkhangai,2007,1.41E+ 07
Uvurkhangai,2008,6.31E+ 06
Uvurkhangai,2009,6.87E+ 06
Uvurkhangai,2010,1.05E+ 07
Uvurkhangai,2011,1.57E+ 07
Uvurkhangai,2012,2.06E+ 07
Uvurkhangai,2013,1.93E+ 07
Uvurkhangai,2014,1.06E+ 07
Uvurkhangai,2015,1.17E+ 07
Uvurkhangai,2016,1.46E+ 07
Uvurkhangai,2017,1.29E+ 07
Zavkhan,1998,2.67E+ 07
Zavkhan,1999,1.99E+ 07
Zavkhan,2000,1.59E+ 07
Zavkhan,2001,1.51E+ 07
Zavkhan,2002,8.90E+ 06
Zavkhan,2003,2.50E+ 07
Zavkhan,2004,1.67E+ 07
Zavkhan,2005,2.28E+ 07
Zavkhan,2006,1.74E+ 07
Zavkhan,2007,1.43E+ 07
Zavkhan,2008,1.64E+ 07
Zavkhan,2009,1.47E+ 07
Zavkhan,2010,2.86E+ 07
Zavkhan,2011,2.09E+ 07
Zavkhan,2012,2.18E+ 07
Zavkhan,2013,2.97E+ 07
Zavkhan,2014,1.61E+ 07
Zavkhan,2015,1.96E+ 07
Zavkhan,2016,2.95E+ 07
Zavkhan,2017,1.34E+ 07
