Aimag,Year,Snowfall anomalies
Uvs,2002,12.38
Uvs,2003,0.11
Uvs,2004,-1.45
Uvs,2005,5.91
Uvs,2006,-3.15
Uvs,2007,-2.35
Uvs,2008,3.33
Uvs,2009,0.08
Uvs,2010,10.21
Uvs,2011,6.26
Uvs,2012,-4.75
Uvs,2013,6.78
Uvs,2014,2.08
Uvurkhangai,1999,-4.45
Uvurkhangai,2000,1.65
Uvurkhangai,2001,-1.62
Uvurkhangai,2002,3.22
Uvurkhangai,2003,3.98
Uvurkhangai,2004,5.18
Uvurkhangai,2005,-0.82
Uvurkhangai,2006,-4.52
Uvurkhangai,2007,0.88
Uvurkhangai,2008,13.65
Uvurkhangai,2009,-3.45
Uvurkhangai,2010,7.85
Uvurkhangai,2011,15.15
Uvurkhangai,2012,3.75
Uvurkhangai,2013,15.58
Uvurkhangai,2014,0.85
Zavkhan,1999,-4.21
Zavkhan,2000,-2.29
Zavkhan,2001,12.47
Zavkhan,2002,4.73
Zavkhan,2003,7.85
Zavkhan,2004,-4.59
Zavkhan,2005,-0.89
Zavkhan,2006,-1.77
Zavkhan,2007,-7.81
Zavkhan,2008,-2.07
Zavkhan,2009,2.71
Zavkhan,2010,15.03
Zavkhan,2011,13.25
Zavkhan,2012,-3.13
Zavkhan,2013,9.73
Zavkhan,2014,4.67
