Statistical indicator,Administrator unit,Year,Key,Value,Population,Rate,Difference to Average,MapX,MapY,Inclination
Murder,Govisumber,2016,Govisumber - 2016,2,16926,11.81614085,6.239101583,7,2,red
Murder,Govisumber,2017,Govisumber - 2017,1,17383,5.752746937,-0.194578639,7,2,blue
Murder,Selenge,2010,Selenge - 2010,7,97876,7.151906494,-1.178505159,6,4,blue
Murder,Selenge,2011,Selenge - 2011,8,99240,8.061265619,-1.257053129,6,4,blue
Murder,Selenge,2012,Selenge - 2012,16,103543,15.45251731,7.397405,6,4,red
Murder,Selenge,2013,Selenge - 2013,6,103191,5.814460563,-1.147338611,6,4,blue
Murder,Selenge,2014,Selenge - 2014,7,106212,6.5905924,-0.45225112,6,4,blue
Murder,Selenge,2015,Selenge - 2015,16,106292,15.05287322,8.381362074,6,4,red
Murder,Selenge,2016,Selenge - 2016,5,107513,4.650600393,-0.926438873,6,4,blue
Murder,Selenge,2017,Selenge - 2017,10,109605,9.123671365,3.17634579,6,4,red
Murder,Dornogovi,2010,Dornogovi - 2010,7,58859,11.89282862,3.562416972,8,2.5,red
Murder,Dornogovi,2011,Dornogovi - 2011,3,60206,4.982892071,-4.335426677,8,2.5,blue
Murder,Dornogovi,2012,Dornogovi - 2012,9,61302,14.68141333,6.626301019,8,2.5,red
Murder,Dornogovi,2013,Dornogovi - 2013,7,62537,11.19337352,4.231574348,8,2.5,red
Murder,Dornogovi,2014,Dornogovi - 2014,9,63808,14.10481444,7.061970924,8,2.5,red
Murder,Dornogovi,2015,Dornogovi - 2015,8,65267,12.25734291,5.585831771,8,2.5,red
Murder,Dornogovi,2016,Dornogovi - 2016,4,66450,6.019563582,0.442524316,8,2.5,red
Murder,Dornogovi,2017,Dornogovi - 2017,5,68147,7.337080136,1.38975456,8,2.5,red
Murder,Darkhan-Uul,2010,Darkhan-Uul - 2010,14,94922,14.74895177,6.418540118,7,4,red
Murder,Darkhan-Uul,2011,Darkhan-Uul - 2011,8,96031,8.33064323,-0.987675518,7,4,blue
Murder,Darkhan-Uul,2012,Darkhan-Uul - 2012,4,97917,4.085092476,-3.970019835,7,4,blue
Murder,Darkhan-Uul,2013,Darkhan-Uul - 2013,5,98969,5.052087017,-1.909712157,7,4,blue
Murder,Darkhan-Uul,2014,Darkhan-Uul - 2014,8,99947,8.004242248,0.961398729,7,4,red
Murder,Darkhan-Uul,2015,Darkhan-Uul - 2015,7,100939,6.934881463,0.26337032,7,4,red
Murder,Darkhan-Uul,2016,Darkhan-Uul - 2016,5,101876,4.907927284,-0.669111981,7,4,blue
Murder,Darkhan-Uul,2017,Darkhan-Uul - 2017,5,104074,4.804273882,-1.143051694,7,4,blue
Murder,Umnugovi,2010,Umnugovi - 2010,4,61591,6.494455359,-1.835956294,6,1,blue
Murder,Umnugovi,2011,Umnugovi - 2011,15,63426,23.64960742,14.33128867,6,1,red
Murder,Umnugovi,2012,Umnugovi - 2012,5,65373,7.648417542,-0.406694769,6,1,blue
Murder,Umnugovi,2013,Umnugovi - 2013,1,67149,1.489225454,-5.472573721,6,1,blue
Murder,Umnugovi,2014,Umnugovi - 2014,2,59694,3.350420478,-3.692423042,6,1,blue
Murder,Umnugovi,2015,Umnugovi - 2015,2,61655,3.243856946,-3.427654197,6,1,blue
Murder,Umnugovi,2016,Umnugovi - 2016,6,63307,9.477624907,3.900585642,6,1,red
Murder,Umnugovi,2017,Umnugovi - 2017,6,65314,9.186391891,3.239066316,6,1,red
Murder,Dundgovi,2010,Dundgovi - 2010,0,38728,0,-8.330411653,6,2,blue
Murder,Dundgovi,2011,Dundgovi - 2011,2,37726,5.301383661,-4.016935087,6,2,blue
Murder,Dundgovi,2012,Dundgovi - 2012,1,37773,2.647393641,-5.40771867,6,2,blue
Murder,Dundgovi,2013,Dundgovi - 2013,3,37364,8.029118938,1.067319763,6,2,red
Murder,Dundgovi,2015,Dundgovi - 2015,1,44429,2.250782147,-4.420728996,6,2,blue
Murder,Dundgovi,2016,Dundgovi - 2016,4,44762,8.9361512,3.359111934,6,2,red
Murder,Dundgovi,2017,Dundgovi - 2017,3,45755,6.556660474,0.609334898,6,2,red
Murder,Dornod,2010,Dornod - 2010,4,69552,5.751092708,-2.579318945,9,4,blue
Murder,Dornod,2011,Dornod - 2011,6,70214,8.545304355,-0.773014392,9,4,blue
Murder,Dornod,2012,Dornod - 2012,4,71275,5.612065942,-2.44304637,9,4,blue
Murder,Dornod,2013,Dornod - 2013,5,71529,6.990171818,0.028372644,9,4,red
Murder,Dornod,2014,Dornod - 2014,6,75194,7.979360055,0.936516536,9,4,red
Murder,Dornod,2015,Dornod - 2015,6,76476,7.845598619,1.174087476,9,4,red
Murder,Dornod,2016,Dornod - 2016,6,77579,7.734051741,2.157012476,9,4,red
Murder,Dornod,2017,Dornod - 2017,6,79445,7.552394738,1.605069163,9,4,red
Murder,Sukhbaatar,2010,Sukhbaatar - 2010,4,51422,7.778771732,-0.551639921,9,3,blue
Murder,Sukhbaatar,2011,Sukhbaatar - 2011,3,51782,5.793518983,-3.524799764,9,3,blue
Murder,Sukhbaatar,2012,Sukhbaatar - 2012,2,52646,3.798959085,-4.256153226,9,3,blue
Murder,Sukhbaatar,2013,Sukhbaatar - 2013,7,53147,13.17101624,6.209217063,9,3,red
Murder,Sukhbaatar,2014,Sukhbaatar - 2014,3,57423,5.224387441,-1.818456079,9,3,blue
Murder,Sukhbaatar,2015,Sukhbaatar - 2015,1,59034,1.693939086,-4.977572057,9,3,blue
Murder,Sukhbaatar,2016,Sukhbaatar - 2016,4,59810,6.687844842,1.110805577,9,3,red
Murder,Sukhbaatar,2017,Sukhbaatar - 2017,2,61131,3.271662495,-2.675663081,9,3,blue
Murder,Khentii,2010,Khentii - 2010,10,65942,15.16484183,6.834430178,8,3.5,red
Murder,Khentii,2011,Khentii - 2011,3,66447,4.514876518,-4.80344223,8,3.5,blue
Murder,Khentii,2012,Khentii - 2012,8,67466,11.85782468,3.802712371,8,3.5,red
Murder,Khentii,2013,Khentii - 2013,6,67489,8.890337685,1.92853851,8,3.5,red
Murder,Khentii,2014,Khentii - 2014,5,71212,7.021288547,-0.021554973,8,3.5,blue
Murder,Khentii,2015,Khentii - 2015,5,72609,6.886198681,0.214687538,8,3.5,red
Murder,Khentii,2016,Khentii - 2016,4,73663,5.430134532,-0.146904734,8,3.5,blue
Murder,Khentii,2017,Khentii - 2017,5,75683,6.606503442,0.659177866,8,3.5,red
Murder,Ulaanbaatar,2010,Ulaanbaatar - 2010,119,1244449,9.562464995,1.232053342,7,3,red
Murder,Ulaanbaatar,2011,Ulaanbaatar - 2011,140,1287100,10.87716572,1.558846974,7,3,red
Murder,Ulaanbaatar,2012,Ulaanbaatar - 2012,120,1318130,9.10380615,1.048693838,7,3,red
Murder,Ulaanbaatar,2013,Ulaanbaatar - 2013,104,1372042,7.579942888,0.618143713,7,3,red
Murder,Ulaanbaatar,2014,Ulaanbaatar - 2014,114,1362974,8.364062704,1.321219184,7,3,red
Murder,Ulaanbaatar,2015,Ulaanbaatar - 2015,113,1396288,8.092886281,1.421375138,7,3,red
Murder,Ulaanbaatar,2016,Ulaanbaatar - 2016,91,1440447,6.317483392,0.740444127,7,3,red
Murder,Ulaanbaatar,2017,Ulaanbaatar - 2017,118,1462973,8.065767448,2.118441872,7,3,red
